sampleMetadata	injectionOrder	batch	sampleType
Blc-EI_Neg_1	1	Db	blank
Blc-extract-EI_Neg_1	2	Db	blankExtract
QC-interbatch_Neg_1	3	Db	poolInter
QC-Dil8_Neg_1	4	Db	pool8
QC-Dil4_Neg_1	5	Db	pool4
QC-Dil2_Neg_1	6	Db	pool2
QC-Dil1_Neg_1	7	Db	pool
QC-Dil8_Neg_2	8	Db	pool8
QC-Dil4_Neg_2	9	Db	pool4
QC-Dil2_Neg_2	10	Db	pool2
QC-Dil1_Neg_2	11	Db	pool
QC-Dil8_Neg_3	12	Db	pool8
QC-Dil4_Neg_3	13	Db	pool4
QC-Dil2_Neg_3	14	Db	pool2
QC-Dil1_Neg_3	15	Db	pool
QC-interbatch_Neg_2	16	Db	poolInter
Blc-EI_Neg_2	17	Db	blank
Blc-extract-EI_Neg_2	18	Db	blankExtract
QC-Dil1_Neg_4	19	Db	pool
Db44_Neg	20	Db	sample
Db4_Neg	21	Db	sample
Db46_Neg	22	Db	sample
Db18_Neg	23	Db	sample
Db58_Neg	24	Db	sample
Te1_Neg	25	Db	te
Db47_Neg	26	Db	sample
Db23_Neg	27	Db	sample
Db13_Neg	28	Db	sample
Db55_Neg	29	Db	sample
QC-Dil1_Neg_5	30	Db	pool
Blc-EI_Neg_3	31	Db	blank
Db76_Neg	32	Db	sample
Db51_Neg	33	Db	sample
Db9_Neg	34	Db	sample
Db59_Neg	35	Db	sample
Db52_Neg	36	Db	sample
Db26_Neg	37	Db	sample
Db22_Neg	38	Db	sample
Db37_Neg	39	Db	sample
Db62_Neg	40	Db	sample
Db5_Neg	41	Db	sample
QC-Dil1_Neg_6	42	Db	pool
Blc-EI_Neg_4	43	Db	blank
Db38_Neg	44	Db	sample
Db40_Neg	45	Db	sample
Db56_Neg	46	Db	sample
Db27_Neg	47	Db	sample
Db28_Neg	48	Db	sample
Db63_Neg	49	Db	sample
Db32_Neg	50	Db	sample
Db15_Neg	51	Db	sample
Db74_Neg	52	Db	sample
QC-interbatch_Neg_3	54	Db	poolInter
QC-Dil1_Neg_7	55	Db	pool
Blc-extract-EI_Neg_3	56	Db	blankExtract
Blc-EI_Neg_5	57	Db	blank
Db64_Neg	58	Db	sample
Db57_Neg	59	Db	sample
Te4_Neg	60	Db	te
Db21_Neg	61	Db	sample
Db73_Neg	62	Db	sample
Db54_Neg	63	Db	sample
Db42_Neg	64	Db	sample
Db41_Neg	65	Db	sample
Db31_Neg	66	Db	sample
QC-Dil1_Neg_8	67	Db	pool
Blc-EI_Neg_6	68	Db	blank
Db24_Neg	69	Db	sample
Te3_Neg	70	Db	te
Db77_Neg	71	Db	sample
Db17_Neg	72	Db	sample
Db11_Neg	73	Db	sample
Db53_Neg	74	Db	sample
Db61_Neg	75	Db	sample
Db43_Neg	76	Db	sample
Db8_Neg	77	Db	sample
QC-Dil1_Neg_9	78	Db	pool
Blc-EI_Neg_7	79	Db	blank
QC-interbatch_Neg_4	80	Db	poolInter
Db35_Neg	81	Db	sample
Db1_Neg	82	Db	sample
Db67_Neg	83	Db	sample
Db68_Neg	84	Db	sample
Db70_Neg	85	Db	sample
Db14_Neg	86	Db	sample
Db39_Neg	87	Db	sample
Db48_Neg	88	Db	sample
Db69_Neg	89	Db	sample
QC-Dil1_Neg_10	90	dia1	pool
Blc-EI_Neg_8	91	dia1	blank
Db22Bis_Neg	92	dia1	sample
Db36_Neg	93	dia1	sample
Db29_Neg	94	dia1	sample
Db33_Neg	95	dia1	sample
Db49_Neg	96	dia1	sample
QC-Dil1Bis_Neg_10	97	dia2	pool
Blc-EIBis_Neg_8	98	dia2	blank
Db22Ter_Neg	99	dia2	sample
Db36Bis_Neg	100	dia2	sample
Db29Bis_Neg	101	dia2	sample
Db33Bis_Neg	102	dia2	sample
Db49Bis_Neg	103	dia2	sample
Db3_Neg	104	Db	sample
Db72_Neg	105	Db	sample
Db12_Neg	106	Db	sample
Db25_Neg	107	Db	sample
QC-Dil1_Neg_11	108	dia2	pool
Blc-EI_Neg_9	109	dia2	blank
Te2_Neg	110	dia2	te
Db71_Neg	111	dia2	sample
QC-Dil1Bis_Neg_11	112	dia3	pool
Blc-EIBis_Neg_9	113	dia3	blank
Te2Bis_Neg	114	dia3	te
Db71Bis_Neg	115	dia3	sample
Db75_Neg	116	dia3	sample
Db16_Neg	117	Db	sample
Db6_Neg	118	Db	sample
Db65_Neg	119	Db	sample
Db20_Neg	120	Db	sample
Db45_Neg	121	Db	sample
Db10_Neg	122	Db	sample
QC-Dil1_Neg_12	123	Db	pool
Blc-EI_Neg_10	124	Db	blank
Db7_Neg	125	Db	sample
Db60_Neg	126	Db	sample
Db66_Neg	127	Db	sample
Db19_Neg	128	Db	sample
Db78_Neg	129	Db	sample
Db50_Neg	130	Db	sample
Db30_Neg	131	Db	sample
Db34_Neg	132	Db	sample
Db2_Neg	133	Db	sample
QC-interbatch_Neg_5	134	Db	poolInter
QC-Dil1_Neg_13	135	Db	pool
Blc-extract-EI_Neg_4	136	Db	blankExtract
Blc-EI_Neg_11	137	Db	blank
